 1003B  16Porvoonkatu                             Borgågatan                              Linja 1003B          
 1003B  17Viipurinkatu                            Viborgsgatan                            Linja 1003B          
 1003B  18Nordenskiöldinkatu                      Nordenskiöldsgatan                      Linja 1003B          
 1003T   1Reitti:                                 Rutt:                                   Linja 1003T          
 1003T   2Olympialaituri                          Olympiakajen                            Linja 1003T          
 1003T   3Eteläranta                              Södra kajen                             Linja 1003T          
 1003T   4Kauppatori                              Salutorget                              Linja 1003T          
 1003T   5Senaatintori                            Senatstorget                            Linja 1003T          
 1003T   6Aleksanterinkatu                        Alexandersgatan                         Linja 1003T          
 1003T   7Mikonkatu                               Mikaelsgatan                            Linja 1003T          
 1003T   8Kaivokatu                               Brunnsgatan                             Linja 1003T          
 1003T   9Simonkatu                               Simonsgatan                             Linja 1003T          
 1003T  10Annankatu                               Annegatan                               Linja 1003T          
 1003T  11Urho Kekkosen katu                      Urho Kekkonens gata                     Linja 1003T          
 1003T  12Fredrikinkatu                           Fredriksgatan                           Linja 1003T          
 1003T  13Arkadiankatu                            Arkadiagatan                            Linja 1003T          
 1003T  14Runeberginkatu                          Runebergsgatan                          Linja 1003T          
 1003T  15Mannerheimintie                         Mannerheimvägen                         Linja 1003T          
 1003T  16Nordenskiöldinkatu                      Nordenskiöldsgatan                      Linja 1003T          
 1004T   1Reitti:                                 Rutt:                                   Linja 1004T          
 1004T   2Katajanokan ranta                       Skatuddenstrand                         Linja 1004T          
 1004T   3Mastokatu                               Mastgatan                               Linja 1004T          
 1004T   4Kruunuvuorenkatu                        Kronbergsgatan                          Linja 1004T          
 1004T   5Satamakatu                              Hamngatan                               Linja 1004T          
 1004T   6Kanavakatu                              Kanalgatan                              Linja 1004T          
 1004T   7Päävartiontori                          Högvaktstorget                          Linja 1004T          
 1004T   8Mariankatu                              Mariegatan                              Linja 1004T          
 1004T   9Aleksanterinkatu                        Alexandersgatan                         Linja 1004T          
 1004T  10Mannerheimintie                         Mannerheimvägen                         Linja 1004T          
 1004T  11Tukholmankatu                           Stockholmsgatan                         Linja 1004T          
 1004T  12Paciuksenkatu                           Paciusgatan                             Linja 1004T          
 1004T  13Munkkiniemen puistotie                  Munksnäs allén                          Linja 1004T          
 1004T  14Laajalahdentie                          Bredviksvägen                           Linja 1004T          
 1004T  15Saunalahdentie                          Bastuviksvägen                          Linja 1004T          
 1005    1Ensi linja                              Första linjen                           Linja 1005           
 1005    2Castreninkatu                           Castrensgatan                           Linja 1005           
 1005    3Toinen linja                            Andra linjen                            Linja 1005           
 1005    4Siltasaarenkatu                         Broholmsgatan                           Linja 1005           
 1005    5Unioninkatu                             Unionsgatan                             Linja 1005           
 1005    6Kaisaniemenkatu                         Kajsaniemigatan                         Linja 1005           
 1005    7Kaivokatu                               Brunnsgatan                             Linja 1005           
 1005    8Simonkatu                               Simonsgatan                             Linja 1005           
 1005    9Annankatu                               Annegatan                               Linja 1005           
 1005   10Urho Kekkosen katu                      Urho Kekkonens gata                     Linja 1005           
 1005   11Fredrikinkatu                           Fredriksgatan                           Linja 1005           
 1005   12Arkadiankatu                            Arkadiagatan                            Linja 1005           
 1005   13Runeberginkatu                          Runebergsgatan                          Linja 1005           
 1005   14Ruusulankatu                            Rosavillagatan                          Linja 1005           
 1005   15Sibeliuksenkatu                         Sibeliusgatan                           Linja 1005           
 1005   16Mannerheimintie                         Mannerheimvägen                         Linja 1005           
 1006    1Reitti 6:                               Rutt 6:                                 1006                 
 1006    2Ruoholahdenranta                        Gräsvikskajen                           1006                 
 1006    3Hietalahdenranta                        Sandvikskajen                           1006                 
 1006    4Bulevardi                               Bulevarden                              1006                 
 1006    5Mannerheimintie                         Mannerheimvägen                         1006                 
 1006    6Kaivokatu                               Brunnsgatan                             1006                 
 1006    7Kaisaniemenkatu                         Kajsaniemigatan                         1006                 
 1006    8Siltasaarenkatu                         Broholmsgatan                           1006                 
 1006    9Hakaniementori                          Hagnäs torg                             1006                 
 1006   10Hämeentie                               Tavastvägen                             1006                 
 1006   11Arabiankatu                             Arabiagatan                             1006                 
 1006   12Arabianranta                            Arabiastranden                          1006                 
 1006T   1Reitti 6T:                              Rutt 6T:                                Linja 1006T          
 1006T   2Tyynenmerenkatu                         Stillahavsgatan                         Linja 1006T          
 1006T   3Jätkäsaarenlaituri                      Busholmskajen                           Linja 1006T          
 1006T   4Ruoholahdenranta                        Gräsvikskajen                           Linja 1006T          
 1006T   5Hietalahdenranta                        Sandvikskajen                           Linja 1006T          
 1006T   6Bulevardi                               Bulevarden                              Linja 1006T          
 1006T   7Mannerheimintie                         Mannerheimvägen                         Linja 1006T          
 1006T   8Kaivokatu                               Brunnsgatan                             Linja 1006T          
 1006T   9Kaisaniemenkatu                         Kajsaniemigatan                         Linja 1006T          
 1006T  10Siltasaarenkatu                         Broholmsgatan                           Linja 1006T          
 1006T  11Hämeentie                               Tavastvägen                             Linja 1006T          
 1006T  12Arabiankatu                             Arabiagatan                             Linja 1006T          
 1006T  13Arabianranta                            Arabiastranden                          Linja 1006T          
 1007A   1Reitti:                                 Rutt:                                   Linja 1007A          
 1007A   2Snellmaninkatu                          Snellmansgatan                          Linja 1007A          
 1007A   3Aleksanterinkatu                        Alexandersgatan                         Linja 1007A          
 1007A   4Mannerheimintie                         Mannerheimvägen                         Linja 1007A          
 1007A   5Nordenskiöldinkatu                      Nordenskiöldsgatan                      Linja 1007A          
 1007A   6Veturitie                               Lokvägen                                Linja 1007A          
 1007A   7Pasilanraitio                           Böletået                                Linja 1007A          
 1007A   8Kyllikinportti                          Kyllikkiporten                          Linja 1007A          
 1007A   9Pasilankatu                             Bölegatan                               Linja 1007A          
 1007A  10Pasilan silta                           Bölebro                                 Linja 1007A          
 1007A  11Ratapihantie                            Bangårdsvägen                           Linja 1007A          
 1007A  12Rautatieläisenkatu                      Järnvägsmannagatan                      Linja 1007A          
 1007A  13Ratamestarinkatu                        Banmästargatan                          Linja 1007A          
 1007A  14Radanrakentajantie                      Banbyggarvägen                          Linja 1007A          
 1007A  15Mäkelänkatu                             Backasgatan                             Linja 1007A          
 1007A  16Hämeentie                               Tavastvägen                             Linja 1007A          
 1007A  17Siltasaarenkatu                         Broholmsgatan                           Linja 1007A          
 1007A  18Unioninkatu                             Unionsgatan                             Linja 1007A          
