 173   120090601202001011Helsinki - Kirkkonummi                  Helsingfors - Kyrkslätt                  
 173   220090601202001011Helsinki - Kirkkonummi                  Helsingfors - Kyrkslätt                  
 174   120090601202001011Helsinki - Kirkkonummi                  Helsingfors - Kyrkslätt                  
 174   220090601202001011Helsinki - Kirkkonummi                  Helsingfors - Kyrkslätt                  
 175   120090601202001011Helsinki-Kirkkonummi-Kantvik            Helsingfors-Kyrkslätt-Kantvik            
 175   220090601202001011Helsinki-Kirkkonummi-Kantvik            Helsingfors-Kyrkslätt-Kantvik            
 176   120090601202001011Helsinki-Kirkkonummi-Kantvik-Pikkala    Helsingfors-Kyrkslätt-Kantvik-Pickala    
 176   220090601202001011Helsinki-Kirkkonummi-Kantvik-Pikkala    Helsingfors-Kyrkslätt-Kantvik-Pickala    
 177   120090601202001011Helsinki-Kirkkonummi-Upinniemi          Helsingfors-Kyrkslätt-Obbnäs             
 177   220090601202001011Helsinki-Kirkkonummi-Upinniemi          Helsingfors-Kyrkslätt-Obbnäs             
 178   120090601202001011Helsinki-Kirkkonummi-Upinniemi          Helsingfors-Kyrkslätt-Obbnäs             
 178   220090601202001011Helsinki-Kirkkonummi-Upinniemi          Helsingfors-Kyrkslätt-Obbnäs             
 179   120090601202001011Helsinki-Kirkkonummi-Upinniemi          Helsingfors-Kyrkslätt-Obbnäs             
 179   220090601202001011Helsinki-Kirkkonummi-Upinniemi          Helsingfors-Kyrkslätt-Obbnäs             
 180   120090601202001011Helsinki-Kirkkonummi                    Helsingfors-Kyrkslätt                    
 180   220090601202001011Helsinki-Kirkkonummi                    Helsingfors-Kyrkslätt                    
 181   120090601202001011Helsinki-Kirkkonummi-Gesterby           Helsingfors-Kyrkslätt-Gesterby           
 181   220090601202001011Helsinki-Kirkkonummi-Gesterby           Helsingfors-Kyrkslätt-Gesterby           
 182   120090601202001011Helsinki-Kirkkonummi-Ravals             Helsingfors-Kyrkslätt-Ravals             
 182   220090601202001011Helsinki-Kirkkonummi-Ravals             Helsingfors-Kyrkslätt-Ravals             
 185   120090601202001011Helsinki-Ericsson/Hirsala               Helsingfors-Ericsson/Hirsala             
 185   220090601202001011Helsinki-Ericsson/Hirsala               Helsingfors-Ericsson/Hirsala             
 186   120090601202001011Helsinki-Pikkala                        Helsingfors-Pickala                      
 186   220090601202001011Helsinki-Pikkala                        Helsingfors-Pickala                      
 189   120090601202001011Helsinki-Kirkkonummi-Pikkalan tehdas th Helsingfors-Kyrkslätt- Pickala fabrik vg 
 189   220090601202001011Helsinki-Kirkkonummi-Pikkalan tehdas th Helsingfors-Kyrkslätt- Pickala fabrik vg 
 190   120090601202001011Helsinki-Jorvaksentie-Pikkala th (-InkooHelsingfors-Jorvasvägen-Pickala vgs (-In 
 190   220090601202001011Helsinki-Jorvaksentie-Pikkala th (-InkooHelsingfors-Jorvasvägen-Pickala vgs (-In 
 194   119920831200112311Helsinki-Tapiola                        Helsingfors-Hagalund                     
 194   219920831200112311Tapiola-Helsinki                        Hagalund-Helsingfors                     
 195   119990101200112311Helsinki-Puolarmetsä-Latokaski          Helsingfors-Bolarskog-Ladusved           
 195   219990101200112311Latokaski-Puolarmetsä-Helsinki          Ladusved-Bolarskog-Helsingfors           
 205   120020602200112311Helsinki-Leppävaara                     Helsingfors-Alberga                      
 205   220020602200112311Helsinki-Leppävaara                     Helsingfors-Alberga                      
 206   119920831200112311Helsinki-Nihtisilta/Karamalmi           Helsingfors-KnektbroKaramalmen           
 206   219920831200112311Nihtisilta/Karamalmi-Helsinki           Knektbro/Karamalmen-Helsingfors          
 210N  120010813200112311Leppävaara-Karakallio-Espoon keskus     Alberga-Karabacka-Esbo centrum           
 210N  220010813200112310Leppävaara-Karakallio-Espoon keskus     Alberga-Karabacka-Esbo centrum           
 212   119950512200112311Helsinki-Kauniainen                     Helsingfors-Grankulla                    
 212   219950512200112311Kauniainen-Helsinki                     Grankulla-Helsingfors                    
 213   119930622200112311Helsinki-Mikkelä                        Helsingfors-Mickels                      
 213   219930622200112311Mikkelä-Helsinki                        Mickels-Helsingfors                      
 220N  120010813200112311Leppävaara-Kilo-Lippajärvi-Hämevaara    Alberga-Kilo-Klappstrand-Tavastberga     
 231   119990101200112311Helsinki-Hämeenkylä                     Helsingfors-Tavastby                     
 231   219990101200112311Hämeenkylä-Helsinki                     Tavastby-Helsingfors                     
 248   119920831200112311Helsinki-Jupperi                        Helsingfors-Jupper                       
 248   219920831200112311Jupperi-Helsinki                        Jupper-Helsingfors                       
 2550  220030817201001010Jokeri                                  Joker                                    
 261   119920831200112311Helsinki-Kauniala/Kuurinniitty          Helsingfors-Kauniala/Kurängen            
 261   219920831200112311Kauniala/Kuurinniitty-Helsinki          Kauniala/Kurängen-Helsingfors            
 270   119921014200112311Helsinki-Tuomarila/Kuurinniitty         Helsingfors-Domsby/Kurängen              
 270   219921014200112311Tuomarila/Kuurinniitty-Helsinki         Domsby/Kurängen-Helsingfors              
 277   119950903200112311Helsinki-Kauklahti                      Helsingfors-Köklax                       
 277   219950903200112311Kauklahti-Helsinki                      Köklax-Helsingfors                       
 280   120090601200112310Helsinki - Turunväylä - Veikkola -      Helsingfors - Åboleden - Veikkola -      
 280   220090601200112311Helsinki - Turunväylä - Veikkola -      Helsingfors - Åboleden - Veikkola -      
 290   119950903200112311Helsinki-Turuntie-Kolmperä              Helsingfors-Åboleden-Kolmpers            
