1067;2;15-elo-16;1;1282104;1282010;;1;0;1
1067N;1;15-elo-16;1;1282103;1282004;;1;0;1
1069;1;13-elo-06;1;1284149;1284005;;1;;1
1069;2;13-elo-06;1;1284150;1250120;;1;;1
1070;1;12-elo-13;1;1362105;1383016;;1;0;1
1070;2;12-elo-13;1;1381102;1381104;;1;0;1
1070T;1;12-elo-13;1;1362105;1383016;;1;0;1
1070T;2;12-elo-13;1;1381102;1381104;;1;0;1
1071V;2;13-elo-12;1;1383131;1383229;;1;0;0
1072;1;12-elo-13;1;1370108;1382027;;1;0;1
1072;2;12-elo-13;1;1370107;1370207;;1;0;1
1072N;1;01-tammi-14;1;1370108;1382027;;1;0;1
1073;1;12-syys-11;1;1381105;1381005;;1;0;1
1073;2;13-huhti-12;1;1381104;1381006;;1;;1
1073N;1;12-elo-13;1;1362105;1383016;;1;0;1
1073N;2;12-elo-13;1;1402155;1402157;;1;0;1
1073X;1;01-tammi-00;1;1362105;1383016;;1;0;1
1073X;2;01-tammi-00;1;1402155;1402157;;1;0;1
1074;1;12-elo-13;1;1362107;1362004;;1;0;1
1074;2;13-elo-12;1;1411111;1411009;;1;0;1
1074N;1;12-elo-13;1;1362107;1362004;;1;0;1
1074N;2;12-elo-13;1;1382148;1382022;;1;0;1
1075;1;12-elo-13;1;1362105;1383016;;1;0;1
1075;2;12-elo-13;1;1382148;1382022;;1;0;1
1075A;1;06-kesŠ-11;1;1402126;1402082;;1;0;1
1075A;2;06-kesŠ-11;1;1402125;1402082;;1;0;1
1076N;1;12-elo-13;1;1381105;1381005;;1;0;1
1077;1;12-elo-13;1;1362141;1362019;;1;0;1
1077A;1;15-elo-11;1;1381103;1381105;;1;;1
1077A;2;15-elo-11;1;1381106;1381108;;1;;1
1078;1;11-elo-02;1;1473109;1473209;;1;0;1
1078;2;11-elo-02;1;1472102;1473017;;1;;1
1079;1;17-kesŠ-13;1;1431129;1431019;;1;;1
1079;2;17-kesŠ-13;1;1362125;1362132;;1;0;1
1080X;1;14-heinŠ-12;1;1431188;1431185;;1;0;1
1081;1;07-kesŠ-10;1;1431139;1431016;;1;;1
1081;2;07-kesŠ-10;1;1431189;1431112;;1;;1
1081X;1;14-heinŠ-12;1;1431139;1431016;;1;0;1
1081X;2;14-heinŠ-12;1;1431189;1431112;;1;0;1
1082X;1;14-heinŠ-12;1;1431188;1431185;;1;0;1
1085X;1;14-heinŠ-12;1;1431183;1431106;;1;0;1
1086B;2;12-elo-13;1;1491121;1491141;;1;0;1
1086X;1;14-heinŠ-12;1;1431106;1431003;;1;0;1
1088X;1;14-heinŠ-12;1;1431185;1431183;;1;0;1
1090BK;2;06-kesŠ-11;1;1541191;1541042;;1;;1
1091;1;16-elo-10;1;1600209;1600003;;1;0;1
1091;2;16-elo-10;1;1600210;1600002;;1;0;1
1091K;1;16-elo-10;1;1600209;1600003;;1;0;1
1091K;2;16-elo-10;1;1600210;1600002;;1;0;1
1093;1;06-kesŠ-11;1;1600209;1600003;;1;0;1
1093;2;06-kesŠ-11;1;1600210;1600002;;1;0;1
1093K;1;01-loka-10;1;1600209;1600003;;1;;1
1093K;2;01-loka-10;1;1601206;1601208;;1;;1
1094;1;15-tammi-07;1;1471159;1471002;;1;;1
1094;2;15-tammi-07;1;1471179;1471008;;1;0;1
1094A;1;15-elo-11;1;1471117;1471003;;1;0;0
1094A3;1;15-elo-11;1;1474103;1474007;;1;0;1
1094A5;1;15-elo-11;1;1474103;1474007;;1;0;1
1094A7;1;15-elo-11;1;1471117;1471003;;1;;0
1095;1;15-tammi-07;1;1472101;1472018;;1;;1
1095;2;15-tammi-07;1;1473118;1473017;;1;;1
1096;1;07-kesŠ-99;1;1541161;1531101;;1;0;1
1096;2;07-kesŠ-99;1;1541162;1531114;;1;0;1
